MONOGRAFIA,"B41","Bosque tropical"
MONOGRAFIA,"B42","Brújula, La"
MONOGRAFIA,"B43","Bulimia"
MONOGRAFIA,"B44","Bullying acoso escolar"
MONOGRAFIA,"B45","Burguesía, La"
MONOGRAFIA,"C1","Caballos y sus derivados, El"
MONOGRAFIA,"C2","Cabra y sus derivados, La"
MONOGRAFIA,"C3","Cacao, El"
MONOGRAFIA,"C4","Cadenas alimenticias"
MONOGRAFIA,"C5","Café y sus derivados, El"
MONOGRAFIA,"C6","Calendario azteca, El"
MONOGRAFIA,"C7","Calentamiento global"
MONOGRAFIA,"C8","Calor, El"
MONOGRAFIA,"C9","Cámara fotográfica, La"
MONOGRAFIA,"C10","Cancer, El"
MONOGRAFIA,"C11","Campo, El"
MONOGRAFIA,"C12","Caña de azúcar"
MONOGRAFIA,"C13","Capa de ozono"
MONOGRAFIA,"C14","Capitalismo, El"
MONOGRAFIA,"C15","Carranza y la revolución mexicana"
MONOGRAFIA,"C16","Casa y sus interiores, La"
MONOGRAFIA,"C17","Castas, Las"
MONOGRAFIA,"C18","Caucho, El"
MONOGRAFIA,"C19-A1","Célula, La"
MONOGRAFIA,"C19-B1","Célula eucariota y procariota"
MONOGRAFIA,"C20","Célula animal"
MONOGRAFIA,"C21","Célula animal y vegetal"
MONOGRAFIA,"C22","Célula vegetal"
MONOGRAFIA,"C23","Célula y el microscopio, La"
MONOGRAFIA,"C24","Censos, Los"
MONOGRAFIA,"C25","Centenario de la revolución mexicana"
MONOGRAFIA,"C26","Central nucleoeléctrica"
MONOGRAFIA,"C27","Centros nerviosos, Los"
MONOGRAFIA,"C28","Cerdo y sus derivados, El"
MONOGRAFIA,"C29","Cereales y gramineas"
MONOGRAFIA,"C30","Cerebro, Medula espinal"
MONOGRAFIA,"C31","Ciclo del agua"
MONOGRAFIA,"C32","Ciclo del azufre"
MONOGRAFIA,"C33","Ciclo del carbono"
MONOGRAFIA,"C34-A1","Ciclo del fósforo"
MONOGRAFIA,"C35-A1","Ciclo del hidrógeno"
MONOGRAFIA,"C36","Ciclo del nitrógeno"
MONOGRAFIA,"C37-A","Ciclo del oxígeno"
MONOGRAFIA,"C38","Ciclo del oxígeno e hidrógeno, El"
MONOGRAFIA,"C39","Ciclo vital de las plantas"
MONOGRAFIA,"C40","Ciencia y la sociedad, La"
MONOGRAFIA,"C41","Ciencias naturales y su relación con otras ciencias"
MONOGRAFIA,"C42","Ciencia y tecnología"
MONOGRAFIA,"C43","Ciencia y tecnología 2"
MONOGRAFIA,"C44","Cimas y simas"
MONOGRAFIA,"C45","Cinco reinos de la biología, Los"
MONOGRAFIA,"C45","Cinco reinos de la biología, Los"
MONOGRAFIA,"C46","Circo, El"
MONOGRAFIA,"C47","Circulación, La"
MONOGRAFIA,"C48","Cid campeador"
MONOGRAFIA,"C49","Ciudad, La"
MONOGRAFIA,"C50","Clasificación de los invertebrados"
MONOGRAFIA,"C51","Clasificación de los mamíferos"
MONOGRAFIA,"C52","Clasificación de los vertebrados"
MONOGRAFIA,"C53","Climas de México"
MONOGRAFIA,"C54","Clima mundial"
MONOGRAFIA,"C55","Clonación, La"
MONOGRAFIA,"C56","Cólera, El"
MONOGRAFIA,"C57","Colonia 1"
MONOGRAFIA,"C58","Colonia 2"
MONOGRAFIA,"C59","Colonialismo"
MONOGRAFIA,"C60","Colonización"
MONOGRAFIA,"C61-A","Colores, Los"
MONOGRAFIA,"C61-B","Colores"
MONOGRAFIA,"C62","Combustión: El fuego, La"
MONOGRAFIA,"C63","Comercio exterior, El"
MONOGRAFIA,"C64","Comercio (Tratado de libre comercio)"
MONOGRAFIA,"C65","Cometas, Los"
MONOGRAFIA,"C66-A","Comida chatarra"
MONOGRAFIA,"C66-B","Comida típica mexicana"
MONOGRAFIA,"C67","Cómo vive el hombre en el desierto y el trópico"
MONOGRAFIA,"C68","Compuestos químicos"
MONOGRAFIA,"C69","Computadora, La"
MONOGRAFIA,"C70","Computación e informática"
MONOGRAFIA,"C71","Comunicaciones, Las"
MONOGRAFIA,"C72","Comunicaciones modernas"
MONOGRAFIA,"C73","Comunidad, La"
MONOGRAFIA,"C74-A","Comunidad rural y urbana"
MONOGRAFIA,"C74-B","Comunismo y socialismo"
MONOGRAFIA,"C75","Conocimiento empírico y científico"
MONOGRAFIA,"C76","Conquista de México"
MONOGRAFIA,"C77","Conquista del espacio"
MONOGRAFIA,"C78","Constelaciones zodiacales"
MONOGRAFIA,"C79","Constitución de 1917"
MONOGRAFIA,"C80","Constitución de 1917 (5 de febrero)"
MONOGRAFIA,"C81","Constituciones de México"
MONOGRAFIA,"C82","Constitución y moldeado de la corteza terrestre"
MONOGRAFIA,"C83","Consumación de la independencia"
MONOGRAFIA,"C84","Consumación de la independencia"
MONOGRAFIA,"C85","Contaminación ambiental"
MONOGRAFIA,"C86","Contaminación ambiental"
MONOGRAFIA,"C87","Contaminación de la Biosfera"
MONOGRAFIA,"C88","Contaminación del agua"
MONOGRAFIA,"C89","Contaminación del aire"
MONOGRAFIA,"C90","Contaminación del suelo"
MONOGRAFIA,"C91","Contrarreforma, La"
MONOGRAFIA,"C92","Conversión de medidas"
MONOGRAFIA,"C93","Coras y huicholes"
MONOGRAFIA,"C94","Corazón y los vasos sanguíneos"
MONOGRAFIA,"C95","Corrientes marinas, Las"
MONOGRAFIA,"C96","Costas, Las"
MONOGRAFIA,"C97","Cráneo, El"
MONOGRAFIA,"C98","Creta y micenas"
MONOGRAFIA,"C99-A","Criptógamas, Las"
MONOGRAFIA,"C99-B","Covid 19"
MONOGRAFIA,"C100","Cristalería de laboratorio"
MONOGRAFIA,"C101","Cristianismo, El"
MONOGRAFIA,"C102","Crus roja, La"
MONOGRAFIA,"C103","Cruzadas, Las"
MONOGRAFIA,"C104","Cuatro estaciones del año"
MONOGRAFIA,"C105","Cuatro viajes de colon, Los"
MONOGRAFIA,"C106-A","Cuauhtémoc"
MONOGRAFIA,"C106-B","Cuautitlán"
MONOGRAFIA,"C107","Cubismo, El"
MONOGRAFIA,"C108","Cuerpo humano, El"
MONOGRAFIA,"C109-A","Cuidados del agua"
MONOGRAFIA,"C109-B","Cuidados del agua"
MONOGRAFIA,"C109-C","Cuidados de nuestro planeta"
MONOGRAFIA,"C110","Cultura árabe"
MONOGRAFIA,"C111","Cultura andina (Sudamérica prehispánica)"
MONOGRAFIA,"C112","Cultura asiria"
MONOGRAFIA,"C113","Cultura azteca 1"
MONOGRAFIA,"C114","Cultura azteca 2"
MONOGRAFIA,"C115","Cultura bizantina"
MONOGRAFIA,"C116","Cultura caldea (Mesopotamia)"
MONOGRAFIA,"C117","Cultura chichimeca"
MONOGRAFIA,"C118","Cultura china 1"
MONOGRAFIA,"C119","cultura china 2"
MONOGRAFIA,"C120","Cultura cholula xochicalco"
MONOGRAFIA,"C121","Cultura egipcia 1"
MONOGRAFIA,"C122","Cultura egipcia 2"
MONOGRAFIA,"C123","Cultura griega 1"
MONOGRAFIA,"C124","Cultura griega 2"
MONOGRAFIA,"C125","Cultura griega 3"
MONOGRAFIA,"C126","Cultura huasteca"
MONOGRAFIA,"C127","Cultura inca"
MONOGRAFIA,"C128","Cultura india"
MONOGRAFIA,"C129","Cultura india ""Gandhi"""
MONOGRAFIA,"C130","Cultura maya 1"
MONOGRAFIA,"C131","Cultura maya 2"
MONOGRAFIA,"C132","Cultura maya quiche 3"
MONOGRAFIA,"C133","Cultura mexica"
MONOGRAFIA,"C134","Cultura mixteca"
MONOGRAFIA,"C135","Cultura olmeca"
MONOGRAFIA,"C136","Cultura precolombina"
MONOGRAFIA,"C137-A","Cultura prehistórica de México"
MONOGRAFIA,"C137-B","Culturas antiguas y prehispánicas (localización)"
MONOGRAFIA,"C138","Fundación de roma"
MONOGRAFIA,"C139","Cultura romana 1"
MONOGRAFIA,"C140","Cultura romana 2"
MONOGRAFIA,"C141","Cultura sumeria"
MONOGRAFIA,"C142","Cultura tarasca"
MONOGRAFIA,"C143","Cultura tarasca (purépecha)"
MONOGRAFIA,"C144","Cultura teotihuacana"
MONOGRAFIA,"C145","Cultura tolteca 1"
MONOGRAFIA,"C146","Cultura tolteca 2"
MONOGRAFIA,"C147","Cultura totonaca"
MONOGRAFIA,"C148","Cultura zapoteca"
MONOGRAFIA,"D1","Danzas típicas regionales de México"
MONOGRAFIA,"D2","Deforestación, La"
MONOGRAFIA,"D3","Decena trágica, La"
MONOGRAFIA,"D4","Delincuencia juvenil"
MONOGRAFIA,"D5-A","Democracia, La"
MONOGRAFIA,"D6","Deportes 1, Los"
MONOGRAFIA,"D7","Deportes 2, Los"
MONOGRAFIA,"D8","Deportes: Basquetbol (Basketball)"
MONOGRAFIA,"D9","Deportes: El Béisbol (Baseball)"
MONOGRAFIA,"D10","Deportes: El box"
MONOGRAFIA,"D11","Deportes: El fútbol (Football)"
MONOGRAFIA,"D12","Deportes (Fútbol Soccer) (Football)"
MONOGRAFIA,"D13","Deportes: El fútbol Americano"
MONOGRAFIA,"D14","Deportes: La gimnasia"
MONOGRAFIA,"D15","Deportes: La lucha libre"
MONOGRAFIA,"D16","Deportes: La natación"
MONOGRAFIA,"D17","Deportes: El tenis"
MONOGRAFIA,"D18","Deportes: El volley ball"
MONOGRAFIA,"D19","Derechos de los niños, Los"
MONOGRAFIA,"D20","Derechos humanos, Los"
MONOGRAFIA,"D21-A","Derechos indígenas, Los"
MONOGRAFIA,"D21-B","Derecho animal"
MONOGRAFIA,"D22","Derechos sociales, Los"
MONOGRAFIA,"D23","Deriva continental"
MONOGRAFIA,"D24","Derivados del petróleo"
MONOGRAFIA,"D25-A","Desastres naturales"
MONOGRAFIA,"D25-B","Desechos orgánicos e inorgánicos"
MONOGRAFIA,"D26","Desarrollo humano"
MONOGRAFIA,"D27","Desarrollo humano"
MONOGRAFIA,"D28","Desarrollo humano"
MONOGRAFIA,"D29","Desarrollo de la casa habitación"
MONOGRAFIA,"D30","Descubrimiento de américa 1"
MONOGRAFIA,"D31","Descubrimiento de américa 1"
MONOGRAFIA,"D32","Descubrimiento de américa 2"
MONOGRAFIA,"D33","Descubrimiento de américa 2"
